N,g,two_sqrt_g,C_S4,margin,VALOR,CM,Cert_SHA,parent_M7_SHA
379,31,11.13552873,11.42214869,0.28661996,2866,0,1ed0444bc0278cdc...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
383,32,11.31370850,11.42214869,0.10844019,1084,0,e1b9e21eade8d5c6...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
389,32,11.31370850,11.42214869,0.10844019,1084,0,fb2eaa8a8cf7b35b...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
397,32,11.31370850,11.42214869,0.10844019,1084,0,b53ec7e7c70f15a4...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
---
TOTAL_ROWS: 280
MIN_VALOR: 1084
MIN_MARGIN: 0.10844019
ALL_VALOR_POSITIVE: true
M24_READY: true
